product_id,product_name,category_id,supplier_id,reorder_point,safety_stock
P00001,Summer 0,CA039,SUP045,16,10
P00002,Student 1,CA029,SUP145,21,14
P00003,Challenge 2,CA015,SUP104,19,19
P00004,Campaign 3,CA043,SUP085,13,18
P00005,Actually 4,CA008,SUP194,43,7
P00006,Assume 5,CA021,SUP134,46,11
P00007,Then 6,CA039,SUP108,16,3
P00008,Statement 7,CA019,SUP018,36,7
P00009,Doctor 8,CA023,SUP094,29,14
P00010,Case 9,CA011,SUP150,43,19
P00011,Decade 10,CA011,SUP033,22,8
P00012,Than 11,CA024,SUP158,19,3
P00013,Institution 12,CA036,SUP126,36,15
P00014,Hotel 13,CA040,SUP160,10,6
P00015,Rich 14,CA024,SUP170,48,19
P00016,Professor 15,CA003,SUP122,47,12
P00017,Writer 16,CA022,SUP138,39,11
P00018,Quite 17,CA002,SUP115,38,12
P00019,Become 18,CA024,SUP164,42,3
P00020,Pass 19,CA044,SUP162,9,16
P00021,Peace 20,CA030,SUP028,22,8
P00022,Event 21,CA038,SUP011,20,10
P00023,Whose 22,CA002,SUP167,12,6
P00024,Tax 23,CA021,SUP047,29,8
P00025,Bad 24,CA033,SUP127,36,3
P00026,Age 25,CA012,SUP147,30,4
P00027,Attention 26,CA022,SUP118,26,3
P00028,Decade 27,CA044,SUP143,35,5
P00029,Weight 28,CA025,SUP126,47,8
P00030,Race 29,CA049,SUP156,14,8
P00031,Life 30,CA027,SUP152,16,18
P00032,Table 31,CA042,SUP072,32,17
P00033,Career 32,CA028,SUP107,10,4
P00034,Best 33,CA016,SUP137,24,16
P00035,West 34,CA015,SUP175,9,15
P00036,Throw 35,CA047,SUP033,27,16
P00037,Themselves 36,CA044,SUP190,13,15
P00038,Table 37,CA003,SUP019,33,8
P00039,Glass 38,CA037,SUP195,20,4
P00040,Can 39,CA007,SUP074,26,18
P00041,And 40,CA021,SUP168,12,11
P00042,Year 41,CA009,SUP175,24,16
P00043,Main 42,CA039,SUP193,18,7
P00044,Apply 43,CA018,SUP157,43,18
P00045,Concern 44,CA004,SUP178,41,18
P00046,Window 45,CA025,SUP098,38,15
P00047,Painting 46,CA014,SUP141,15,19
P00048,Lead 47,CA050,SUP129,44,6
P00049,Term 48,CA009,SUP162,37,9
P00050,Shake 49,CA026,SUP093,35,8
P00051,Indicate 50,CA002,SUP176,48,5
P00052,Model 51,CA020,SUP048,38,19
P00053,All 52,CA028,SUP177,11,6
P00054,Idea 53,CA047,SUP064,27,17
P00055,Result 54,CA007,SUP061,11,15
P00056,Last 55,CA044,SUP157,29,15
P00057,Consider 56,CA008,SUP039,7,10
P00058,Health 57,CA047,SUP128,42,7
P00059,Difficult 58,CA035,SUP088,24,18
P00060,When 59,CA014,SUP026,38,13
P00061,Culture 60,CA017,SUP017,48,5
P00062,Face 61,CA036,SUP071,48,17
P00063,Far 62,CA050,SUP013,34,12
P00064,Like 63,CA040,SUP069,21,5
P00065,Use 64,CA004,SUP026,14,18
P00066,Church 65,CA002,SUP049,39,9
P00067,Already 66,CA006,SUP195,24,15
P00068,Positive 67,CA042,SUP007,22,3
P00069,President 68,CA004,SUP058,49,12
P00070,Practice 69,CA029,SUP049,48,12
P00071,Else 70,CA018,SUP103,31,7
P00072,Radio 71,CA026,SUP053,40,15
P00073,Find 72,CA044,SUP193,27,11
P00074,Moment 73,CA034,SUP062,36,9
P00075,Its 74,CA010,SUP017,14,8
P00076,Us 75,CA036,SUP171,15,9
P00077,Oil 76,CA014,SUP025,42,9
P00078,Measure 77,CA031,SUP131,10,3
P00079,Ask 78,CA048,SUP029,45,17
