stock_id,warehouse_id,product_id,quantity
ST000001,WH002,P00205,161
ST000002,WH005,P02007,122
ST000003,WH004,P01144,188
ST000004,WH002,P04468,0
ST000005,WH002,P04838,123
ST000006,WH007,P00261,162
ST000007,WH001,P00768,127
ST000008,WH004,P01906,33
ST000009,WH009,P04932,169
ST000010,WH001,P04598,138
ST000011,WH004,P04465,117
ST000012,WH007,P01806,104
ST000013,WH008,P04828,199
ST000014,WH005,P00054,122
ST000015,WH003,P03463,87
ST000016,WH006,P02277,59
ST000017,WH003,P01764,137
ST000018,WH006,P00838,149
ST000019,WH002,P03113,102
ST000020,WH002,P02941,72
ST000021,WH006,P04946,166
ST000022,WH005,P00356,55
ST000023,WH008,P04393,198
ST000024,WH002,P03101,63
ST000025,WH002,P04523,36
ST000026,WH005,P02963,42
ST000027,WH010,P01576,44
ST000028,WH002,P00376,88
ST000029,WH004,P02371,76
ST000030,WH002,P01908,151
ST000031,WH002,P03114,144
ST000032,WH005,P03715,88
ST000033,WH006,P01333,255
ST000034,WH006,P02911,88
ST000035,WH004,P02188,94
ST000036,WH002,P04991,36
ST000037,WH003,P04376,95
ST000038,WH004,P01339,114
ST000039,WH008,P03109,40
ST000040,WH005,P04563,75
ST000041,WH004,P02657,116
ST000042,WH001,P01877,73
ST000043,WH001,P02585,63
ST000044,WH007,P02194,139
ST000045,WH002,P01729,35
ST000046,WH010,P02578,45
ST000047,WH004,P04090,108
ST000048,WH007,P03759,142
ST000049,WH003,P02170,115
ST000050,WH003,P02021,88
ST000051,WH009,P04416,84
ST000052,WH005,P04789,150
ST000053,WH007,P04781,142
ST000054,WH007,P02966,102
ST000055,WH004,P01134,86
ST000056,WH009,P04043,101
ST000057,WH002,P00386,63
ST000058,WH002,P01253,92
ST000059,WH003,P03459,75
ST000060,WH010,P00521,94
ST000061,WH007,P03127,77
ST000062,WH010,P03835,126
ST000063,WH009,P02060,140
ST000064,WH009,P00095,81
ST000065,WH002,P04399,59
ST000066,WH005,P02787,135
ST000067,WH002,P02405,109
ST000068,WH007,P01296,81
ST000069,WH008,P00027,168
ST000070,WH005,P04101,71
ST000071,WH003,P04159,0
ST000072,WH002,P02445,64
ST000073,WH009,P04989,180
ST000074,WH004,P01253,84
ST000075,WH006,P01324,74
ST000076,WH009,P04345,101
ST000077,WH001,P04907,150
ST000078,WH006,P04003,95
ST000079,WH001,P00917,129
ST000080,WH006,P02520,90
ST000081,WH004,P00475,129
ST000082,WH004,P04648,109
ST000083,WH002,P00702,80
ST000084,WH008,P00567,112
ST000085,WH009,P01031,72
ST000086,WH003,P03894,31
ST000087,WH009,P01353,99
ST000088,WH005,P04323,35
ST000089,WH010,P03467,129
ST000090,WH004,P04418,98
ST000091,WH004,P02554,171
ST000092,WH007,P03060,83
ST000093,WH008,P04240,98
ST000094,WH008,P00992,26
ST000095,WH004,P01841,44
ST000096,WH002,P02770,16
ST000097,WH001,P04820,153
ST000098,WH009,P01886,77
ST000099,WH010,P01805,166
ST000100,WH001,P00582,0
ST000101,WH001,P01876,177
ST000102,WH002,P00258,96
ST000103,WH006,P00581,116
ST000104,WH009,P01950,46
ST000105,WH005,P03977,126
ST000106,WH003,P04678,40
ST000107,WH010,P03873,39
ST000108,WH004,P03875,38
ST000109,WH007,P01560,119
ST000110,WH002,P00795,68
ST000111,WH007,P02903,17
ST000112,WH007,P03368,118
ST000113,WH008,P00444,0
ST000114,WH002,P00497,166
ST000115,WH007,P02780,199
ST000116,WH002,P02037,34
ST000117,WH004,P01559,152
ST000118,WH009,P03676,117
ST000119,WH003,P03457,74
ST000120,WH003,P02282,77
ST000121,WH008,P02047,132
ST000122,WH002,P03631,98
ST000123,WH009,P00803,0
ST000124,WH001,P04429,203
ST000125,WH001,P00765,121
ST000126,WH004,P01363,97
ST000127,WH007,P03979,64
ST000128,WH008,P01752,90
ST000129,WH007,P00481,163
